,transaction_id,transaction_date,product_id,customer_id,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
10,11,1484582400,5,1986,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784.0,Melania,Ruske,Female,53.0,1981-12-30,,Retail,Mass Customer,N,No,16.0
11,12,1483545600,61,2783,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172.0,Antonin,Gleaves,Male,14.0,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0
12,13,1488038400,35,1243,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527.0,Robbert,Blakey,Male,73.0,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0
13,14,1504972800,16,2717,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586.0,Frederic,McGown,Male,31.0,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0
14,15,1497110400,12,247,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,Kristal,Joysey,Female,62.0,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0
15,16,1507564800,3,2961,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37873.0,Merv,Barradell,Male,56.0,1975-03-22,Assistant Manager,Health,Mass Customer,N,Yes,12.0
16,17,1491148800,79,2426,0.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,38206.0,Yancy,Ovett,U,64.0,NaT,,IT,Affluent Customer,N,Yes,
17,18,1496332800,33,1842,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,Ephrayim,Beville,Male,89.0,1977-02-27,Accountant IV,Financial Services,Mass Customer,N,No,8.0
18,19,1491408000,54,2268,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,Wilhelmina,Gothup,Female,66.0,1965-10-07,Pharmacist,Health,Mass Customer,N,No,19.0
19,20,1485532800,25,3002,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,37337.0,Tracey,Verdun,Male,62.0,1956-12-06,Paralegal,Financial Services,Mass Customer,N,Yes,16.0
20,21,1507478400,27,1582,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334.0,Francesco,Wasson,Male,32.0,1978-01-14,Office Assistant III,Property,Mass Customer,N,No,4.0
21,22,1498665600,37,595,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,Nikola,Jeanon,Male,72.0,1973-05-12,VP Marketing,Financial Services,Mass Customer,N,No,22.0
22,23,1491580800,37,2001,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,42145.0,Mada,Martinho,Female,21.0,1977-10-06,Analog Circuit Design manager,Manufacturing,Mass Customer,N,Yes,3.0
23,24,1508256000,82,515,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0,Winna,Verny,Female,55.0,1989-09-04,Help Desk Operator,IT,High Net Worth,N,No,8.0
24,25,1497110400,89,2822,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079.0,Rebecca,Shaughnessy,Female,83.0,1981-05-14,Professor,,Mass Customer,N,No,3.0
25,26,1483977600,64,2596,0.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,42145.0,Lexis,Deason,Female,51.0,1976-08-20,Assistant Professor,,Affluent Customer,N,Yes,13.0
26,27,1491840000,64,2666,1.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,41047.0,Lyle,Eager,Male,2.0,1971-02-16,Occupational Therapist,Health,Mass Customer,N,No,9.0
27,28,1513958400,19,76,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,42560.0,Rea,Hasser,Female,20.0,1978-01-23,Statistician II,Retail,High Net Worth,N,Yes,18.0
28,29,1507824000,72,3368,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710.0,Tanya,Boddis,Female,7.0,1967-07-17,Technical Writer,Financial Services,Affluent Customer,N,No,16.0
29,30,1489507200,91,1173,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,41922.0,Gertie,Chaim,Female,58.0,1978-03-02,Statistician IV,Retail,High Net Worth,N,No,16.0
30,31,1504540800,88,2810,1.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,37539.0,Malvin,Burchill,Male,27.0,1961-08-26,,Property,Mass Customer,N,Yes,15.0
31,32,1487347200,1,3214,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688.0,Cindelyn,Balas,Female,2.0,1993-01-21,Software Engineer III,Financial Services,Mass Customer,N,Yes,9.0
32,33,1489939200,25,1272,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0,Nettie,Bulfit,Female,2.0,1985-04-04,,Manufacturing,Affluent Customer,N,No,17.0
33,34,1488211200,99,2003,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991.0,Lilli,Hargey,Female,80.0,1962-06-21,Statistician III,Manufacturing,High Net Worth,N,Yes,8.0
34,35,1503158400,0,2171,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,Laryssa,Maes,Female,21.0,1970-02-10,Pharmacist,Health,High Net Worth,N,No,10.0
35,36,1499356800,92,3356,0.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,37874.0,Dill,Bampford,Male,47.0,1959-03-23,Safety Technician II,Financial Services,Mass Customer,N,Yes,6.0
36,37,1483891200,14,1040,0.0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0,Jacenta,Wedlock,Female,78.0,1975-03-04,Food Chemist,Health,High Net Worth,N,No,9.0
37,38,1512489600,2,2916,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,33549.0,Lauren,Adolfson,Male,23.0,1969-08-03,Product Engineer,Manufacturing,Affluent Customer,N,Yes,9.0
38,39,1505145600,12,427,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38693.0,Giusto,Torbett,Male,77.0,1996-12-19,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,2.0
39,40,1511798400,0,2448,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,Lorri,Iston,Female,5.0,1992-12-18,Structural Analysis Engineer,Property,High Net Worth,N,No,10.0
40,41,1494172800,44,2570,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,37668.0,Hirsch,Peele,Male,13.0,1977-09-10,Professor,Financial Services,Mass Customer,N,Yes,18.0
41,42,1494691200,79,3398,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03,41533.0,Alberik,Looks,Male,69.0,1971-07-01,,,High Net Worth,N,Yes,7.0
42,43,1489680000,76,488,0.0,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,41922.0,Domini,Ghelerdini,Female,24.0,1980-07-11,Help Desk Operator,Property,Mass Customer,N,Yes,10.0
43,44,1513872000,46,165,0.0,Approved,Solex,Standard,low,medium,1289.85,74.51,37668.0,Aldon,Roelofs,Male,61.0,1984-03-25,Administrative Officer,Argiculture,Mass Customer,N,Yes,12.0
44,45,1496764800,55,2787,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,42172.0,Teressa,Tague,Female,92.0,1980-09-26,Marketing Assistant,,Affluent Customer,N,Yes,6.0
45,46,1497888000,66,3053,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,42560.0,Susie,,Female,67.0,1984-09-12,Account Coordinator,Retail,High Net Worth,N,No,17.0
46,47,1494086400,35,475,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527.0,Vernor,,Male,0.0,1996-11-14,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,1.0
47,48,1497024000,81,1305,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,41009.0,Averil,Gentiry,Male,97.0,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0
48,49,1497628800,86,1251,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38206.0,Codie,Arnecke,Male,63.0,1997-10-01,Desktop Support Technician,Property,Mass Customer,N,No,2.0
49,50,1494345600,32,3103,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337.0,Shaylah,Hatchell,Female,5.0,1953-10-21,Safety Technician II,Retail,Mass Customer,N,No,20.0
50,51,1490284800,77,3108,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553.0,Trip,Ahmed,Male,94.0,1967-10-01,Accounting Assistant III,Entertainment,Mass Customer,N,No,10.0
51,52,1511712000,96,857,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,39427.0,Theo,,Female,15.0,1964-08-14,General Manager,,High Net Worth,N,No,4.0
52,53,1513785600,6,3455,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,33549.0,Coop,Skey,Male,29.0,1954-02-25,Administrative Officer,,Mass Customer,N,Yes,11.0
53,54,1486569600,27,2549,1.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,34527.0,Mike,Geggus,Male,12.0,1998-08-07,Pharmacist,Health,Mass Customer,N,Yes,4.0
54,55,1505664000,0,3140,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482.0,Britt,Muddimer,Female,2.0,1985-06-11,Legal Assistant,Manufacturing,High Net Worth,N,No,16.0
55,56,1510588800,47,3406,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,35470.0,Lucy,Lackmann,Female,35.0,1979-04-28,Business Systems Development Analyst,IT,Mass Customer,N,Yes,10.0
56,57,1504022400,94,2294,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0,Skipton,Cordie,Male,25.0,1987-06-16,Associate Professor,Manufacturing,Mass Customer,N,No,21.0
57,58,1510588800,91,1031,0.0,Approved,Solex,Standard,medium,medium,100.35,75.26,36367.0,Roi,Ogden,Male,75.0,1983-09-15,Junior Executive,Manufacturing,Mass Customer,N,No,6.0
58,59,1487088000,93,993,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,38750.0,Reine,Semken,Female,71.0,1977-02-18,Account Coordinator,Argiculture,High Net Worth,N,No,17.0
59,60,1513526400,60,3473,0.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,41848.0,Sanderson,Alloway,U,34.0,NaT,Analog Circuit Design manager,IT,Mass Customer,N,No,
60,61,1487865600,0,1839,0.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,34244.0,Faythe,Rance,Female,60.0,1987-05-08,Internal Auditor,Entertainment,High Net Worth,N,Yes,5.0
61,62,1513526400,33,1824,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,Robbie,Yakubovics,Female,12.0,1959-10-12,Safety Technician III,Manufacturing,Affluent Customer,N,Yes,5.0
62,63,1513440000,35,368,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688.0,Lacee,Roan,Female,32.0,1986-11-26,,Financial Services,High Net Worth,N,No,6.0
63,64,1499443200,0,2000,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,39031.0,Kain,Rene,U,68.0,NaT,Assistant Professor,IT,High Net Worth,N,Yes,
64,65,1494864000,28,825,1.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,42696.0,Willis,Whyler,Male,17.0,1975-08-15,Computer Systems Analyst IV,,Affluent Customer,N,Yes,16.0
65,66,1487779200,86,3315,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,36367.0,Ninnette,Pandey,Female,77.0,1994-09-08,Account Executive,Property,Mass Customer,N,Yes,5.0
66,67,1499011200,2,75,1.0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0,Dollie,Sealy,Female,28.0,1978-07-15,VP Product Management,Property,Mass Customer,N,No,19.0
67,68,1506700800,4,1498,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38258.0,Janot,McGougan,Female,84.0,1989-09-27,Nurse,,Affluent Customer,N,Yes,13.0
68,69,1508515200,38,1612,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167.0,Wendel,Headland,Male,70.0,1987-04-17,Community Outreach Specialist,Financial Services,High Net Worth,N,Yes,22.0
69,70,1494000000,27,2192,1.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334.0,Hubie,Leipold,Male,93.0,1966-08-27,Staff Accountant II,,Mass Customer,N,No,14.0
70,71,1483372800,54,419,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,Chrissie,Bernardini,Female,34.0,1981-01-26,VP Marketing,Manufacturing,Affluent Customer,N,No,17.0
71,72,1494259200,77,3307,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0,Portia,Thirlwall,Female,96.0,1978-09-02,Analyst Programmer,Health,High Net Worth,N,No,14.0
72,73,1500739200,22,2430,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0,Humbert,Dikles,Male,38.0,1968-09-06,Quality Engineer,,Mass Customer,N,No,5.0
73,74,1484928000,56,1506,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707.0,Andonis,Cochrane,Male,21.0,1958-02-21,,Property,Mass Customer,N,No,17.0
74,75,1497888000,58,1346,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,42295.0,Woody,Dowthwaite,Male,9.0,1970-06-19,Administrative Assistant IV,Telecommunications,Mass Customer,N,No,19.0
75,76,1489075200,22,927,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,33552.0,Jarret,,Male,25.0,1966-02-19,Cost Accountant,Financial Services,Mass Customer,N,Yes,18.0
76,77,1496332800,50,763,0.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,37668.0,Benita,Cuffley,Female,95.0,1987-11-05,Computer Systems Analyst IV,Manufacturing,Affluent Customer,N,No,12.0
77,78,1509984000,80,2397,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,36145.0,Cassius,Birchenough,Male,33.0,1985-06-10,Analyst Programmer,Retail,Affluent Customer,N,Yes,4.0
78,79,1505145600,87,102,1.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,35667.0,Langsdon,Tranfield,Male,51.0,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16.0
79,80,1513353600,15,2884,0.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,38693.0,Karola,Conneely,Female,99.0,1962-01-06,Assistant Professor,,Mass Customer,N,No,15.0
80,81,1507305600,84,759,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879.0,Mitchel,Schimek,Male,89.0,1963-04-18,Clinical Specialist,Health,High Net Worth,N,No,13.0
81,82,1493222400,21,773,1.0,Approved,Solex,Standard,medium,large,1071.23,380.74,40670.0,Robbie,Handaside,Male,77.0,1985-02-12,,Financial Services,Affluent Customer,N,Yes,20.0
82,83,1490976000,0,3398,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,37626.0,Alberik,Looks,Male,69.0,1971-07-01,,,High Net Worth,N,Yes,7.0
83,84,1509552000,33,3297,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,Addy,Moukes,Male,39.0,1975-04-26,Product Engineer,Manufacturing,Mass Customer,N,No,13.0
84,85,1486915200,84,2434,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339.0,Lenci,Soars,Male,40.0,1956-11-17,Environmental Specialist,,Affluent Customer,N,No,18.0
85,86,1500393600,1,1861,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,38258.0,Charlena,Muzzi,Female,26.0,1967-07-18,Geological Engineer,Manufacturing,Mass Customer,N,Yes,8.0
86,87,1495468800,27,1233,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,33455.0,Keeley,Hawsby,Female,17.0,1978-07-07,,Retail,Affluent Customer,N,Yes,16.0
87,88,1501948800,31,1390,0.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,34079.0,Christyna,Feldberg,Female,74.0,2000-01-25,Accounting Assistant I,Retail,High Net Worth,N,Yes,1.0
88,89,1491235200,0,2682,1.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,40303.0,Annamarie,Bouzan,Female,54.0,1987-11-01,Accountant III,Manufacturing,High Net Worth,N,Yes,20.0
89,90,1502726400,62,439,1.0,Approved,Solex,Standard,medium,medium,478.16,298.72,34143.0,Lida,Wych,Female,26.0,1974-07-08,GIS Technical Architect,,Affluent Customer,N,No,10.0
90,91,1492185600,17,1579,1.0,Approved,Solex,Standard,high,medium,1024.66,614.8,35160.0,Madelaine,Siegertsz,Female,40.0,1978-01-27,Desktop Support Technician,Financial Services,Affluent Customer,N,Yes,17.0
91,92,1500912000,73,2984,1.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,36668.0,Frances,Mishaw,Female,48.0,1959-05-23,Payment Adjustment Coordinator,Manufacturing,Mass Customer,N,Yes,13.0
92,93,1511798400,33,3470,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,36498.0,Catherina,Ricca,Female,56.0,1967-10-01,Recruiting Manager,Health,Affluent Customer,N,Yes,6.0
93,94,1513958400,86,1,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482.0,Laraine,Medendorp,F,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0
94,95,1488038400,45,757,0.0,Approved,Solex,Standard,medium,medium,441.49,84.99,34071.0,Kinsley,Klimus,Male,91.0,1977-05-13,Environmental Tech,Financial Services,Mass Customer,N,No,18.0
95,96,1487606400,1,1778,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,40649.0,Emera,Margrem,Female,72.0,2000-07-30,Staff Accountant III,,Mass Customer,N,Yes,2.0
96,97,1496160000,80,211,1.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,38339.0,Beitris,,Female,6.0,1974-03-04,VP Marketing,Manufacturing,Mass Customer,N,Yes,5.0
97,98,1498147200,49,333,,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,37823.0,Debbi,Doohey,Female,25.0,1965-06-20,Sales Associate,Financial Services,Affluent Customer,N,Yes,8.0
98,99,1490457600,95,32,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,37874.0,Marion,Vanichkin,Female,17.0,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,N,No,4.0
99,100,1501430400,0,119,0.0,Approved,Solex,Standard,medium,medium,478.16,298.72,36146.0,Willey,Chastanet,Male,9.0,1981-12-04,Associate Professor,,High Net Worth,N,Yes,9.0
100,101,1501084800,18,2347,0.0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,42226.0,L;urette,Annott,Female,79.0,1957-03-04,Programmer Analyst I,,High Net Worth,N,No,11.0
101,102,1492099200,4,2353,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,40649.0,Lyn,Luquet,Male,93.0,1978-12-27,Health Coach IV,Health,Affluent Customer,N,Yes,12.0
102,103,1510416000,33,788,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,Gregg,Townsend,Male,62.0,1964-07-01,Social Worker,Health,Mass Customer,N,No,11.0
103,104,1505145600,78,1468,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,Adaline,Hayles,Female,37.0,1978-01-10,Financial Advisor,Financial Services,Mass Customer,N,No,22.0
104,105,1508947200,89,821,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,41434.0,Gregoor,Aronovitz,Male,41.0,1981-07-24,Financial Analyst,Financial Services,Mass Customer,N,Yes,7.0
105,106,1487088000,70,2489,0.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,42105.0,Emma,Mates,Female,42.0,1976-06-12,Speech Pathologist,Retail,Mass Customer,N,No,15.0
106,107,1513872000,79,2710,0.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,37873.0,Flory,Standering,Male,77.0,1998-01-30,,Retail,Mass Customer,N,No,2.0
107,108,1507651200,26,947,1.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,34115.0,Hyacinth,Naldrett,Female,43.0,1986-03-10,Pharmacist,Health,Mass Customer,N,No,10.0
108,109,1490544000,39,1335,1.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,38991.0,Sibylla,Marlon,Female,57.0,1997-08-14,,Entertainment,Mass Customer,N,Yes,3.0
109,110,1509724800,36,1076,0.0,Approved,Solex,Standard,low,medium,945.04,507.58,35052.0,Siegfried,Trattles,Male,33.0,2000-06-06,Pharmacist,Health,Affluent Customer,N,No,2.0
110,111,1497110400,0,3320,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172.0,Anabella,Mealham,Female,16.0,1994-06-02,Nuclear Power Engineer,Manufacturing,High Net Worth,N,No,6.0
111,112,1507478400,84,779,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879.0,Maddy,Larrat,Female,1.0,1992-02-10,Staff Accountant III,Health,High Net Worth,N,No,7.0
112,113,1496764800,98,3296,1.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,33364.0,Leontyne,Jackett,Female,78.0,1974-11-11,Quality Engineer,Financial Services,Affluent Customer,N,Yes,17.0
113,114,1508774400,75,455,1.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,37873.0,Mile,Dionisii,Male,97.0,1991-11-02,Civil Engineer,Manufacturing,Mass Customer,N,Yes,5.0
114,115,1493568000,76,1779,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,38482.0,Krishnah,Firmage,Male,55.0,1996-11-19,Information Systems Manager,Argiculture,Affluent Customer,N,No,5.0
115,116,1511193600,72,2703,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,40553.0,Peria,Amis,Female,37.0,1980-04-12,,Manufacturing,Affluent Customer,N,Yes,18.0
116,117,1490284800,42,806,0.0,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,34071.0,Carter,Kaesmakers,Male,66.0,1992-07-28,Sales Representative,Retail,Mass Customer,N,Yes,7.0
117,118,1490025600,20,22,0.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,40303.0,Deeanne,Durtnell,Female,79.0,1962-12-10,,IT,Mass Customer,N,No,11.0
118,119,1487520000,64,1591,0.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,38647.0,Fonz,Jankin,Male,4.0,1976-09-14,Operator,Manufacturing,Mass Customer,N,Yes,14.0
119,120,1497542400,0,678,0.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,42105.0,Ambur,Symcoxe,Female,57.0,1995-08-31,Accounting Assistant II,IT,High Net Worth,N,No,2.0
120,121,1512316800,25,50,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,33888.0,Whitby,Schapero,Male,38.0,1980-10-01,Account Executive,Manufacturing,Mass Customer,N,Yes,16.0
121,122,1512057600,24,1038,1.0,Approved,Solex,Road,medium,large,1777.8,820.78,34115.0,Fraser,Acome,U,57.0,NaT,Engineer I,Manufacturing,Mass Customer,N,Yes,
122,123,1488643200,31,1453,1.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,42218.0,Ahmed,,Male,54.0,1977-07-30,Computer Systems Analyst I,Health,High Net Worth,N,No,13.0
123,124,1490025600,98,1339,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470.0,Mariam,Guiel,Female,82.0,1978-12-09,Editor,IT,High Net Worth,N,No,14.0
124,125,1483372800,22,3382,1.0,Approved,Solex,Standard,medium,medium,575.27,431.45,41345.0,Burk,Walczak,Male,90.0,1977-12-17,Business Systems Development Analyst,,High Net Worth,N,No,10.0
125,126,1490976000,53,773,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,37823.0,Robbie,Handaside,Male,77.0,1985-02-12,,Financial Services,Affluent Customer,N,Yes,20.0
126,127,1489593600,84,2503,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38482.0,Devlin,Laneham,Male,80.0,1967-07-16,Budget/Accounting Analyst I,Health,Affluent Customer,N,Yes,10.0
127,128,1488038400,25,1057,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0,Laryssa,Durdle,Female,73.0,1969-04-06,Registered Nurse,Health,Mass Customer,N,No,5.0
128,129,1496592000,50,1397,0.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,42295.0,Dimitri,Durie,Male,29.0,1979-01-21,Legal Assistant,Manufacturing,Mass Customer,N,Yes,14.0
129,130,1504454400,44,2134,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0,Crosby,Ruoff,Male,16.0,2000-02-21,Nurse,Manufacturing,Affluent Customer,N,No,2.0
130,131,1484668800,96,2403,1.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,37539.0,Karalee,Tremlett,Female,41.0,1977-10-25,Technical Writer,Financial Services,Affluent Customer,N,No,12.0
